:b

Size | Nodes | MPI | CPU | Gflops | Coll | Exch | Pack
64x64x64 | 1 | 36 | 0.000574865 | 38.2222891461 | 2 | 0 | 0
64x64x64 | 2 | 72 | 0.000464688 | 47.284750736 | 2 | 0 | 2
128x128x128 | 1 | 36 | 0.00560546 | 36.5854229626 | 2 | 0 | 2
128x128x128 | 2 | 72 | 0.00326112 | 62.8857953709 | 2 | 0 | 0
128x128x128 | 4 | 144 | 0.00218309 | 93.9393817937 | 2 | 0 | 0
128x128x128 | 8 | 288 | 0.00166987 | 122.81083258 | 2 | 0 | 2
128x128x128 | 16 | 576 | 0.000796424 | 257.498675329 | 0 | 0 | 2
256x256x256 | 1 | 36 | 0.106133 | 17.6665127717 | 0 | 0 | 0
256x256x256 | 2 | 72 | 0.046413 | 40.3981643074 | 0 | 0 | 0
256x256x256 | 4 | 144 | 0.0221954 | 84.4769636952 | 0 | 0 | 1
256x256x256 | 8 | 288 | 0.0120346 | 155.800774434 | 2 | 0 | 2
256x256x256 | 16 | 576 | 0.00670006 | 279.848240165 | 2 | 0 | 2
256x256x256 | 32 | 1152 | 0.00398611 | 470.383406379 | 0 | 0 | 2
256x256x256 | 64 | 2304 | 0.00236969 | 791.242736392 | 0 | 0 | 1
512x512x512 | 1 | 36 | 0.914092 | 18.4609426622 | 2 | 0 | 1
512x512x512 | 2 | 72 | 0.466603 | 36.1656483134 | 0 | 0 | 0
512x512x512 | 4 | 144 | 0.238987 | 70.6105353011 | 0 | 0 | 1
512x512x512 | 8 | 288 | 0.153466 | 109.959209206 | 2 | 0 | 0
512x512x512 | 16 | 576 | 0.0675178 | 249.934091454 | 2 | 0 | 0
512x512x512 | 32 | 1152 | 0.037171 | 453.982943693 | 0 | 0 | 2
512x512x512 | 64 | 2304 | 0.0215323 | 783.706338849 | 0 | 0 | 2
512x512x512 | 128 | 4608 | 0.0137886 | 1223.83708281 | 0 | 0 | 2
1024x1024x1024 | 2 | 72 | 3.8195 | 39.2721560414 | 2 | 0 | 2
1024x1024x1024 | 4 | 144 | 2.06314 | 72.7047122347 | 0 | 0 | 2
1024x1024x1024 | 8 | 288 | 1.29321 | 115.990442388 | 1 | 0 | 2
1024x1024x1024 | 16 | 576 | 0.587668 | 255.246159396 | 2 | 0 | 2
1024x1024x1024 | 32 | 1152 | 0.363432 | 412.731955359 | 0 | 0 | 0
1024x1024x1024 | 64 | 2304 | 0.215546 | 695.907138151 | 0 | 0 | 1
1024x1024x1024 | 128 | 4608 | 0.120963 | 1240.04860991 | 0 | 0 | 0
2048x2048x2048 | 16 | 576 | 4.8036 | 274.793904572 | 2 | 0 | 2
2048x2048x2048 | 32 | 1152 | 2.78938 | 473.223440334 | 0 | 0 | 2
2048x2048x2048 | 64 | 2304 | 1.84502 | 715.439399031 | 0 | 0 | 2
2048x2048x2048 | 128 | 4608 | 1.00602 | 1312.10115107 | 0 | 0 | 0
4096x4096x4096 | 128 | 4608 | 7.87891 | 1462.13118312 | 2 | 0 | 2 :tb(s=|)
