:b

Size | Nodes | MPI | CPU | Gflops | Coll | Exch | Pack
64x64x64 | 1 | 16 | 0.000808154 | 27.1886994929 | 2 | 0 | 2
64x64x64 | 2 | 32 | 0.000969773 | 22.6575252662 | 0 | 0 | 0
64x64x64 | 4 | 64 | 0.00071513 | 30.7254013256 | 0 | 0 | 1
64x64x64 | 8 | 128 | 0.00039864 | 55.1190453793 | 0 | 0 | 0
128x128x128 | 1 | 16 | 0.0141784 | 14.4641232438 | 0 | 0 | 0
128x128x128 | 2 | 32 | 0.00785301 | 26.1145885463 | 0 | 0 | 0
128x128x128 | 4 | 64 | 0.00542689 | 37.7892540663 | 0 | 0 | 2
128x128x128 | 8 | 128 | 0.00328836 | 62.3648642484 | 0 | 0 | 0
128x128x128 | 16 | 256 | 0.00243178 | 84.3325156881 | 0 | 0 | 1
128x128x128 | 32 | 512 | 0.00132476 | 154.803983363 | 0 | 0 | 1
128x128x128 | 64 | 1024 | 0.000813379 | 252.131079116 | 0 | 0 | 1
256x256x256 | 1 | 16 | 0.173243 | 10.8229481133 | 2 | 0 | 1
256x256x256 | 2 | 32 | 0.100977 | 18.5685849253 | 0 | 0 | 0
256x256x256 | 4 | 64 | 0.0600803 | 31.2082329815 | 0 | 0 | 0
256x256x256 | 8 | 128 | 0.0344432 | 54.4374506434 | 2 | 0 | 0
256x256x256 | 16 | 256 | 0.0253226 | 74.0445293927 | 2 | 0 | 2
256x256x256 | 32 | 512 | 0.0141104 | 132.880712099 | 0 | 0 | 1
256x256x256 | 64 | 1024 | 0.00724808 | 258.689197691 | 0 | 0 | 0
256x256x256 | 128 | 2048 | 0.00388437 | 482.703758911 | 2 | 0 | 0
512x512x512 | 1 | 16 | 1.49176 | 11.3121413632 | 1 | 0 | 2
512x512x512 | 2 | 32 | 0.862744 | 19.5596839851 | 0 | 0 | 0
512x512x512 | 4 | 64 | 0.538207 | 31.3541072487 | 0 | 0 | 0
512x512x512 | 8 | 128 | 0.30338 | 55.6233106995 | 2 | 0 | 2
512x512x512 | 16 | 256 | 0.207512 | 81.3205983268 | 2 | 0 | 1
512x512x512 | 32 | 512 | 0.137157 | 123.034187099 | 0 | 0 | 0
512x512x512 | 64 | 1024 | 0.0786432 | 214.576721191 | 2 | 0 | 1
512x512x512 | 128 | 2048 | 0.0442382 | 381.457654245 | 2 | 0 | 0
1024x1024x1024 | 4 | 64 | 5.01484 | 29.9112234887 | 2 | 0 | 2
1024x1024x1024 | 8 | 128 | 2.61405 | 57.3822229873 | 2 | 0 | 2
1024x1024x1024 | 16 | 256 | 1.63291 | 91.860543447 | 2 | 0 | 2
1024x1024x1024 | 32 | 512 | 0.967024 | 155.115074703 | 0 | 0 | 0
1024x1024x1024 | 64 | 1024 | 0.564241 | 265.843850411 | 2 | 0 | 2
1024x1024x1024 | 128 | 2048 | 0.352891 | 425.060429424 | 2 | 0 | 1
2048x2048x2048 | 32 | 512 | 7.90984 | 166.880746008 | 2 | 0 | 2
2048x2048x2048 | 64 | 1024 | 4.74172 | 278.379997132 | 2 | 0 | 2
2048x2048x2048 | 128 | 2048 | 2.73696 | 482.286916871 | 0 | 0 | 2
4096x4096x4096 | 256 | 4096 | 14.7843 | 779.204967432 | 2 | 0 | 2 :tb(s=|)
