:b

Size | Nodes | MPI | CPU | Gflops | Coll | Exch | Pack
64x64x64 | 1 | 32 | 0.00046196 | 47.5639801065 | 2 | 0 | 2
64x64x64 | 2 | 64 | 0.000575292 | 38.1939193488 | 2 | 0 | 2
64x64x64 | 4 | 128 | 0.000575304 | 38.1931226795 | 0 | 1 | 2
128x128x128 | 1 | 32 | 0.0057299 | 35.7908733137 | 2 | 0 | 2
128x128x128 | 2 | 64 | 0.0040805 | 50.2580872442 | 2 | 0 | 2
128x128x128 | 4 | 128 | 0.00380089 | 53.9552907345 | 2 | 0 | 0
128x128x128 | 8 | 256 | 0.0025038 | 81.9067517374 | 2 | 0 | 1
128x128x128 | 16 | 512 | 0.00236261 | 86.8015140036 | 2 | 0 | 0
256x256x256 | 1 | 32 | 0.108379 | 17.3003995239 | 0 | 0 | 0
256x256x256 | 2 | 64 | 0.052243 | 35.8899756905 | 0 | 0 | 0
256x256x256 | 4 | 128 | 0.0344744 | 54.3881836957 | 0 | 0 | 0
256x256x256 | 8 | 256 | 0.0183715 | 102.060256375 | 0 | 0 | 2
256x256x256 | 16 | 512 | 0.0115565 | 162.246354865 | 0 | 0 | 0
256x256x256 | 32 | 1024 | 0.00694501 | 269.978012991 | 2 | 0 | 2
512x512x512 | 1 | 32 | 0.916907 | 18.4042656453 | 1 | 0 | 0
512x512x512 | 2 | 64 | 0.498216 | 33.8708511971 | 0 | 0 | 0
512x512x512 | 4 | 128 | 0.368896 | 45.7446001041 | 1 | 0 | 0
512x512x512 | 8 | 256 | 0.189134 | 89.2224560365 | 0 | 0 | 0
512x512x512 | 16 | 512 | 0.103072 | 163.720506054 | 0 | 0 | 2
512x512x512 | 32 | 1024 | 0.0525895 | 320.881544795 | 0 | 0 | 2
512x512x512 | 64 | 2048 | 0.0320901 | 525.863116662 | 0 | 0 | 0
512x512x512 | 128 | 4096 | 0.0203925 | 827.510114013 | 2 | 0 | 2
512x512x512 | 256 | 8192 | 0.0148385 | 1137.24433063 | 2 | 0 | 2
512x512x512 | 512 | 16384 | None | None | None | None | None
1024x1024x1024 | 2 | 64 | 5.05964 | 29.6463780032 | 2 | 0 | 2
1024x1024x1024 | 4 | 128 | 3.27939 | 45.7402138812 | 1 | 0 | 2
1024x1024x1024 | 8 | 256 | 1.59471 | 94.0609891454 | 0 | 0 | 2
1024x1024x1024 | 16 | 512 | 0.953609 | 157.29717316 | 0 | 0 | 2
1024x1024x1024 | 32 | 1024 | 0.559701 | 268.00023584 | 0 | 0 | 2
1024x1024x1024 | 64 | 2048 | 0.338459 | 443.18514207 | 1 | 0 | 2
1024x1024x1024 | 128 | 4096 | 0.182598 | 821.476686492 | 1 | 0 | 2
1024x1024x1024 | 256 | 8192 | 0.0960575 | 1561.56468782 | 2 | 0 | 2
1024x1024x1024 | 512 | 16384 | 0.0510525 | 2938.15190245 | 2 | 0 | 2
2048x2048x2048 | 16 | 512 | 10.6081 | 124.433216127 | 2 | 0 | 2
2048x2048x2048 | 32 | 1024 | 4.84437 | 272.481251432 | 2 | 0 | 2
2048x2048x2048 | 64 | 2048 | 2.65002 | 498.109448231 | 1 | 0 | 2
2048x2048x2048 | 128 | 4096 | 1.71766 | 768.487360712 | 2 | 0 | 2
2048x2048x2048 | 256 | 8192 | 1.10581 | 1193.69511941 | 2 | 0 | 2
2048x2048x2048 | 512 | 16384 | 0.650591 | 2028.92447021 | 2 | 0 | 2
4096x4096x4096 | 128 | 4096 | 23.7488 | 485.07714074 | 2 | 0 | 2
4096x4096x4096 | 256 | 8192 | 18.2567 | 631.001221469 | 2 | 0 | 2
4096x4096x4096 | 512 | 16384 | 4.66006 | 2472.07117505 | 2 | 0 | 2 :tb(s=|)
