:b

Size | Nodes | MPI | CPU | Gflops | Coll | Exch | Pack
64x64x64 | 1 | 64 | 0.000644851 | 34.0740050802 | 2 | 0 | 2
64x64x64 | 2 | 128 | 0.00087055 | 25.239970421 | 2 | 1 | 2
128x128x128 | 1 | 64 | 0.0054648 | 37.5271052921 | 2 | 0 | 2
128x128x128 | 2 | 128 | 0.0058375 | 35.1311563169 | 2 | 0 | 0
128x128x128 | 4 | 256 | 0.00548351 | 37.3990610029 | 2 | 0 | 2
128x128x128 | 8 | 512 | 0.00380562 | 53.888229776 | 2 | 1 | 0
128x128x128 | 16 | 1024 | 0.00195464 | 104.918616727 | 2 | 1 | 2
256x256x256 | 1 | 64 | 0.0593225 | 31.6068945173 | 1 | 0 | 0
256x256x256 | 2 | 128 | 0.050365 | 37.2282338926 | 2 | 0 | 0
256x256x256 | 4 | 256 | 0.0392909 | 47.7209735588 | 0 | 0 | 0
256x256x256 | 8 | 512 | 0.0215367 | 87.0606917494 | 2 | 0 | 2
256x256x256 | 16 | 1024 | 0.0135239 | 138.643438653 | 2 | 0 | 2
256x256x256 | 32 | 2048 | 0.011946 | 156.956303365 | 2 | 0 | 0
512x512x512 | 1 | 64 | 0.621943 | 27.1327115186 | 1 | 0 | 0
512x512x512 | 2 | 128 | 0.456202 | 36.9901929408 | 1 | 0 | 0
512x512x512 | 4 | 256 | 0.321345 | 52.5136535499 | 1 | 0 | 2
512x512x512 | 8 | 512 | 0.186784 | 90.3449974302 | 1 | 0 | 2
512x512x512 | 16 | 1024 | 0.0987593 | 170.86998389 | 1 | 0 | 0
512x512x512 | 32 | 2048 | 0.0606257 | 278.347301557 | 2 | 0 | 2
512x512x512 | 64 | 4096 | 0.0410526 | 411.058008506 | 2 | 0 | 2
512x512x512 | 128 | 8192 | 0.0299565 | 563.316809374 | 2 | 0 | 2
512x512x512 | 256 | 16384 | 0.0382185 | 441.54009184 | 2 | 0 | 2
512x512x512 | 512 | 32768 | 0.0151529 | 1113.64821255 | 2 | 0 | 2
1024x1024x1024 | 1 | 64 | 8.31762 | 18.0340049197 | 2 | 0 | 2
1024x1024x1024 | 2 | 128 | 4.74276 | 31.6271538092 | 2 | 0 | 2
1024x1024x1024 | 4 | 256 | 2.93072 | 51.1819621117 | 0 | 0 | 2
1024x1024x1024 | 8 | 512 | 1.62334 | 92.402084591 | 2 | 0 | 2
1024x1024x1024 | 16 | 1024 | 0.888187 | 168.883354519 | 2 | 0 | 2
1024x1024x1024 | 32 | 2048 | 0.63521 | 236.142378111 | 1 | 0 | 0
1024x1024x1024 | 64 | 4096 | 0.355317 | 422.158241795 | 1 | 0 | 2
1024x1024x1024 | 128 | 8192 | 0.188045 | 797.681406046 | 1 | 0 | 2
1024x1024x1024 | 256 | 16384 | 0.203475 | 737.191301143 | 2 | 0 | 2
1024x1024x1024 | 512 | 32768 | 0.0971235 | 1544.42539653 | 2 | 0 | 2
2048x2048x2048 | 8 | 512 | 15.9462 | 82.7783421756 | 2 | 0 | 2
2048x2048x2048 | 16 | 1024 | 8.0589 | 163.794066188 | 2 | 0 | 2
2048x2048x2048 | 32 | 2048 | 5.8998 | 223.736397844 | 2 | 0 | 2
2048x2048x2048 | 64 | 4096 | 2.97258 | 444.058696486 | 1 | 0 | 2
2048x2048x2048 | 128 | 8192 | 2.1956 | 601.20240481 | 1 | 0 | 2
2048x2048x2048 | 256 | 16384 | 1.91465 | 689.42104301 | 2 | 0 | 2
2048x2048x2048 | 512 | 32768 | 0.462409 | 2854.61571898 | 2 | 0 | 2
4096x4096x4096 | 64 | 4096 | 30.0295 | 383.622770942 | 2 | 0 | 2
4096x4096x4096 | 128 | 8192 | 23.9126 | 481.7543889 | 2 | 0 | 2
4096x4096x4096 | 256 | 16384 | 9.6051 | 1199.36283849 | 2 | 0 | 2
4096x4096x4096 | 512 | 32768 | 5.93137 | 1942.2157107 | 2 | 0 | 2
8192x8192x8192 | 1024 | 65536 | 23.6734 | 4217.39167167 | 2 | 0 | 2 :tb(s=|)
