:b

Size | Nodes | MPI | CPU | Gflops | Coll | Exch | Pack
64x64x64 | 1 | 48 | 0.000539649 | 40.7165699371 | 2 | 0 | 2
64x64x64 | 2 | 96 | 0.000497353 | 44.1791971698 | 0 | 0 | 2
128x128x128 | 1 | 48 | 0.00757325 | 27.0792757403 | 0 | 0 | 2
128x128x128 | 2 | 96 | 0.0044156 | 46.4439996829 | 2 | 0 | 1
128x128x128 | 4 | 192 | 0.00377935 | 54.2628031275 | 2 | 0 | 2
128x128x128 | 8 | 384 | 0.00231955 | 88.4128925869 | 0 | 0 | 1
128x128x128 | 16 | 768 | 0.00189985 | 107.944377188 | 2 | 0 | 2
256x256x256 | 1 | 48 | 0.135163 | 13.8721395648 | 0 | 0 | 1
256x256x256 | 2 | 96 | 0.0646111 | 29.0197814307 | 0 | 0 | 0
256x256x256 | 4 | 192 | 0.0403807 | 46.4330732256 | 0 | 0 | 2
256x256x256 | 8 | 384 | 0.0192537 | 97.3838794621 | 0 | 0 | 0
256x256x256 | 16 | 768 | 0.0125468 | 149.440494788 | 2 | 0 | 2
256x256x256 | 64 | 3072 | 0.00473709 | 395.81261914 | 2 | 0 | 2
512x512x512 | 1 | 48 | 1.1805 | 14.2947903431 | 1 | 0 | 0
512x512x512 | 2 | 96 | 0.608571 | 27.7288927668 | 0 | 0 | 1
512x512x512 | 4 | 192 | 0.387438 | 43.5553559537 | 0 | 0 | 1
512x512x512 | 8 | 384 | 0.196743 | 85.7717936597 | 0 | 0 | 1
512x512x512 | 16 | 768 | 0.112286 | 150.285877135 | 0 | 0 | 0
512x512x512 | 64 | 3072 | 0.0519995 | 324.522351176 | 2 | 0 | 0
512x512x512 | 128 | 6144 | 0.0263391 | 640.682483456 | 2 | 0 | 2
512x512x512 | 256 | 12288 | 0.015415 | 1094.71294194 | 2 | 0 | 2
512x512x512 | 512 | 24576 | 0.0101595 | 1661.00693932 | 2 | 0 | 2
1024x1024x1024 | 2 | 96 | 5.631 | 26.6382525306 | 2 | 0 | 2
1024x1024x1024 | 4 | 192 | 2.96999 | 50.5052205563 | 0 | 0 | 2
1024x1024x1024 | 8 | 384 | 1.77777 | 84.3753691422 | 0 | 0 | 2
1024x1024x1024 | 16 | 768 | 1.04522 | 143.510457129 | 0 | 0 | 0
1024x1024x1024 | 32 | 1536 | 0.508799 | 294.811900181 | 0 | 0 | 0
1024x1024x1024 | 64 | 3072 | 0.307876 | 487.209136146 | 0 | 0 | 0
1024x1024x1024 | 128 | 6144 | 0.175799 | 853.24717433 | 0 | 0 | 0
1024x1024x1024 | 256 | 12288 | 0.0994974 | 1507.57708242 | 2 | 0 | 0
1024x1024x1024 | 512 | 24576 | 0.0670691 | 2236.49937154 | 2 | 0 | 2
2048x2048x2048 | 16 | 768 | 9.96135 | 132.512159496 | 2 | 0 | 2
2048x2048x2048 | 32 | 1536 | 5.37579 | 245.545305899 | 2 | 0 | 2
2048x2048x2048 | 64 | 3072 | 2.91418 | 452.957607286 | 0 | 0 | 2
2048x2048x2048 | 128 | 6144 | 1.63121 | 809.215245125 | 0 | 0 | 2
2048x2048x2048 | 256 | 12288 | 0.877514 | 1504.24950485 | 1 | 0 | 2
2048x2048x2048 | 512 | 24576 | 0.575348 | 2294.26364565 | 0 | 0 | 2
4096x4096x4096 | 128 | 6144 | 26.8318 | 429.341303975 | 2 | 0 | 2
4096x4096x4096 | 256 | 12288 | 9.97536 | 1154.84553941 | 2 | 0 | 2
4096x4096x4096 | 512 | 24576 | 4.79319 | 2403.40983771 | 2 | 0 | 2 :tb(s=|)
